,Sent1,Sent2,SimScore
322,Palestinians 'hit' by Israeli fire in Gaza,Two Palestinians Killed in an Israeli Air Strike on Gaza,0.5599999999999999
323,The tourist helped the artist .,The artist who advised the tourist helped the senators .,0.29
324,The manager that waited introduced the lawyer .,The manager introduced the lawyer .,0.79
325,Gunmen kill 10 foreign tourists in northern Pakistan,Gunmen kill 11 foreign climbers in Pakistan,0.6799999999999999
326,"Obama Urges Restraint from Israelis, Palestinians","Obama meets Israeli, Palestinian negotiators",0.36
327,The actors claimed that the lawyer recommended the presidents .,The lawyer recommended the presidents .,0.43
328,The students recommended the senator near the professor .,The students recommended the senator .,0.79
329,Two people paddling a red canoe are reflected in the still water.,Two people paddling in a red canoe with trees in the background.,0.64
330,The athlete danced .,"If the actors called the president , the athlete danced .",0.42
331,The tourists advised the artists .,The professors and the tourists advised the artists .,0.73
332,The secretary believed the judges stopped the scientists .,The secretary believed the judges .,0.37
333,Sienna Miller testifies at UK phone hacking trial,Sienna Miller attacks press for ‚Äėtitillating‚Äô reports at hacking trial,0.6
334,"The scientist recommended the lawyers , and the professors slept .",The professors slept .,0.62
335,A man is tying on a stenographers machine.,the man used a stenograph.,0.45
336,The lawyers admired the judge .,The lawyers admired the judge who helped the actors .,0.77
337,The banker remembered that the senators resigned .,The senators resigned .,0.55
338,A buddha statue holding a candle is sitting on a table.,A man fishing on a small boat while on a lake.,0.0
339,"Three dead, including gunman, in Maryland mall shooting",3 dead in Maryland mall shooting,0.8400000000000001
340,The tourist by the judges stopped the students .,The judges stopped the students .,0.26
341,"A 32-count indictment ""strikes at one of the very top targets in the drug trafficking world,"" U.S. Attorney Marcos Jimenez said.","The newly unsealed 32-count indictment alleges money laundering and conspiracy and ""strikes at one of the very top targets in the drug-trafficking world,"" Jiménez said.",0.7
342,The men are playing a guitar and having a drink.,There is a young boy with a red and blue jacket on feeding a sheep.,0.0
343,The authors advised the lawyers .,Obviously the authors advised the lawyers .,0.88
344,"Israelis, Palestinians resume talks in US","Israelis, Palestinians begin talks",0.76
345,The scientist saw the student .,The author by the scientist saw the student .,0.26
346,"The Fed's Empire State survey far exceeded expectations by jumping to 26.8 in June, a record high, from 10.6 in May.","Prices had pulled back from offshore highs when the Empire State survey far exceeded expectations by jumping to 26.8 in June, a record high, from 10.6 in May.",0.76
347,A person pours oil on a skillet.,A person is dicing an onion.,0.16
348,The secretary thanked the artists .,"If the scientists recognized the professors , the secretary thanked the artists .",0.42
349,"Thomas was joined in full by Rehnquist, and in parts by O'Connor and Scalia.",He was joined by Chief Justice William H. Rehnquist and Justices Sandra Day O'Connor and Antonin Scalia.,0.5599999999999999
350,"a report issued by security software vendor mcafee inc., said government-affiliated hackers in china are at the forefront of a brewing cyber cold war. ",government-affiliated hackers in china are at the forefront of a burgeoning cyber cold war.,0.6799999999999999
351,The professor admired the scientists .,The professor was admired by the scientists .,0.3
352,The author believed that the professors supported the judges .,The professors supported the judges .,0.43
353,Snowden thanks Russia for asylum,Snowden thanks Russia for granting asylum,1.0
354,The tourists and the judges recognized the lawyers .,The judges recognized the tourists .,0.29
355,Pakistan court demands 'blasphemy' rampage answers,Pakistan-UN report reveals alarming levels of drug use,0.12
356,The little boy is singing and playing the guitar.,A baby is playing a guitar.,0.5599999999999999
357,The senators behind the lawyer admired the tourists .,The lawyer admired the tourists .,0.26
358,Germany warns Greece: No more money without reforms,Euro zone to Greece: No rescue without reforms,0.52
359,Two brown horses standing in grassy field.,Two men sailing in a small sailboat.,0.0
360,6.2 magnitude quake jolts Sarangani,4.3-magnitude earthquake jolts SW China,0.4
361,The professor learned that the doctor believed the secretaries .,The doctor believed the secretaries .,0.55
362,gorgich and pashtoon were executed in prison. ,gorgich and pashtoon were executed for trafficking heroin in sistan-baluchestan province.,0.64
363,The judge advised the banker that saw the artists .,The judge advised the banker .,0.77
364,The tourists slept .,Obviously the tourists slept .,0.88
365,The manager slept .,"Though the authors mentioned the scientist , the manager slept .",0.78
366,The artists called the banker .,The lawyer that advised the artists called the banker .,0.31
367,A man is playing a guitar.,A man is singing and playing a guitar.,0.72
368,The professors moved the tourist .,While the professors moved the tourist resigned .,0.23
369,A man is opening a package containing headphones.,A woman is riding a horse.,0.0
370,Stocks close 0.39% higher,Singapore stocks close 0.31 pct lower,0.32
371,Chinese tourist abducted from Malaysia,China returns 10 children abducted from Vietnam,0.27999999999999997
372,The doctor recognized the judge .,The scientists who introduced the doctor recognized the judge .,0.31
373,The athlete recognized the senators .,The senators recognized the athlete .,0.29
374,The president encouraged the secretary .,"Unless the president encouraged the secretary , the lawyer contacted the athlete .",0.45
375,The professors encouraged the banker .,The banker was encouraged by the professors .,1.0
376,Because the doctor hid the lawyers called the scientist .,The doctor hid the lawyers .,0.23
377,The scientists resigned .,"Though the presidents helped the actors , the scientists resigned .",0.78
378,"The unemployment rate rose a tenth of a percentage point to 6.1%, the highest level since July 1994.",The unemployment rate is predicted to have ticked up a percentage point to 6.1%.,0.64
379,The judge assumed that the athlete waited .,The athlete waited .,0.43
380,Polling stations open at Ukrainian presidential election,Nominations open for e.TV Ghana Most Influential Awards,0.04
381,"The secretaries encouraged the professors , or the senators shouted .",The secretaries encouraged the professors .,0.5
382,China activist Chen lands in US,Chinese activist renews call to fight injustice,0.24
383,The tourist believed the artists encouraged the judges .,The tourist believed the artists .,0.37
384,Trailblazing Israeli electric car company Better Place to fold,Trailblazing Israeli electric car company to fold,0.8800000000000001
385,A table and chairs are in a room with a picture on the wall and a ceiling fan.,A school bus driving down a road with green trees and grass in the background.,0.0
386,The doctors thanked the secretaries who saw the lawyers .,The secretaries saw the lawyers .,0.65
387,Consumers still would have to get a descrambling security card from their cable operator to plug into the set.,"To watch pay television, consumers would insert into the set a security card provided by their cable service.",0.6799999999999999
388,A man is cutting bread.,A man is doing tricks with a soccer ball.,0.2
389,"The Ireland Palestine Solidarity Campaign, of which Mr O Muireagáin was a member, welcomed his release.","The Ireland Palestine Solidarity Campaign, of which he was a member, said he was researching a schools exchange project.",0.48
